availability,brand,condition,description,google_product_category,id,image_link,link,price,title
"in stock","https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_2_ATaleofTwoSisters_Thumbnail.jpg A Tale of Two Sisters ",new,"In this Korean horror classic, scary things happen after two sisters are reunited. The bond between Su-mi and Su-yeon is so strong, even a stay at a mental hospital couldn't break it. When they return to live at their country home, the girls' father has remarried and strange events soon lead to dark revelations. LA Times critic Kevin Thomas called it ""A triumph of stylish, darkly absurdist horror that even manages to strike a chord of Shakespearean tragedy - and evokes a sense of wonder anew at all the terrible things people do to themselves and each other.""�� (In Korean with English Subtitles)",839,2,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_2_ATaleofTwoSisters_Thumbnail.jpg",,"4.99 USD","A Tale of Two Sisters"
"in stock","https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_4_AnAmericanWerefulInLondon_Thumbnail.jpg An American Werewolf in London ",new,"In this 1980s horror classic, two men are attacked by a werewolf while on vacation in the English countryside. Jack dies and David is taken to a hospital, where he starts to have visions and dreams in which Jack urges him to kill himself before he transforms into a werewolf. Will he listen? Don't bet on it. Famous for funny films like ANIMAL HOUSE, John Landis wove hilarious bits into the scary story, kicking off the horror-comedy trend that inspired many other directors. Michael Jackson was so impressed he enlisted Landis to helm his famous ""Thriller""�� video.",839,4,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_4_AnAmericanWerefulInLondon_Thumbnail.jpg",,"4.99 USD","An American Werewolf in London"
"in stock","https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_5_AntiChrist_Thumbnail.jpg Antichrist ",new,"A husband must deal with his wife��s dangerous behavior after the death of their son in Danish provocateur Lars Von Trier��s notoriously gruesome arthouse shocker. After their son falls out a window while they're having sex, a man (Willem Dafoe) and his wife (Charlotte Gainsbourg) retreat to their rural cabin. But something strange is in the air, and soon Gainsbourg��s obsession with evil women puts her husband��s life - and body parts - at risk. Audience members at film festivals experienced panic attacks and vomiting during two particularly sickening scenes.",839,5,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_5_AntiChrist_Thumbnail.jpg",,"4.99 USD",Antichrist
"in stock","https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_6_Antiviral_Thumbnail.jpg Antiviral ",new,"Syd March is an employee at a clinic that sells injections of live viruses harvested from sick celebrities to obsessed fans. Syd also supplies illegal samples of these viruses to piracy groups, smuggling them from the clinic in his own body. When he becomes infected with the disease that kills super sensation Hannah Geist, Syd becomes a target for collectors and rabid fans. He must unravel the mystery surrounding her death before he suffers the same fate.",839,6,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_6_Antiviral_Thumbnail.jpg",,"4.99 USD",Antiviral
"in stock","https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_8_BaronBlood_Thumbnail.jpg Baron Blood ",new,"The spirit of a sadistic Baron is resurrected in Mario Bava's supernatural shocker. Joseph Cotton (SHADOW OF A DOUBT, CITIZEN KANE) plays the titular role while Elke Sommer is one of the dimwits who brings the Baron back to life. Soon enough she's shackled to a rack and suffering the spectre's torments. Can American professor Antonio Cantafora (DEMONS 2) reverse the damage he's done - before it's too late? Bava's only film shot outside Italy isn't as gruesome as his controversial predecessor A BAY OF BLOOD, but still manages to offer plenty of freaky frights.",839,8,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_8_BaronBlood_Thumbnail.jpg",,"4.99 USD","Baron Blood"
"in stock","https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_9_BayofBlood_Thumbnail.jpg Bay of Blood ",new,"When a rich Countess dies, strange murders befall people trying to claim her property in Mario Bava's gruesome giallo, which many credit with giving birth to the slasher genre. Combining his famously rich cinematography style with increasingly bizarre murders, Bava's film became a favorite of directors like Joe Dante and horror historian Stephen Thrower. It also found many detractors, including horror icon Christopher Lee, who found the extreme violence revolting. Controversial, disturbing and incredibly influential, A BAY OF BLOOD is a total must-see.",839,9,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_9_BayofBlood_Thumbnail.jpg",,"4.99 USD","Bay of Blood"
"in stock","https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_11_BerberianSoundStudio_Thumbnail.jpg Berberian Sound Studio ",new,"A sound mixer working on an Dario Argento-style giallo is drawn into a surreal nightmare in Peter Strickland��s critically acclaimed homage to ���70s Italian horror. Toby Jones (THE MIST) stars as the master Foley artist who��s brought to Italy to work on a gruesome gore flick. As he starts stabbing vegetables and going to further extremes to make the disturbing sound effects, the line between what��s real and what��s fiction starts to break down - a scary but apt metaphor for both the process of creating cinema and the experience of viewing it. Stylish and chilling. ",839,11,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_11_BerberianSoundStudio_Thumbnail.jpg",,"4.99 USD","Berberian Sound Studio"
"in stock","https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_13_BlackSabbath_Thumbnail.jpg Black Sabbath ",new,"Horror icon Boris Karloff hosts and stars in Mario Bava's classic horror anthology. Bava's only foray into short-form scares features three chilling tales rendered in his trademark visual lushness: ""The Telephone""��, about a woman who's menaced by threatening calls; ""The Wurdalak""��, starring Karloff as a patriarch whose family realizes he's been bitten by a vampire; and ""The Drop Of Water""��, about a woman who steals a ring from a body, then gets haunted by the owner. Ozzy Osbourne's iconic hard rock band Black Sabbath famously took the film's title as it's name. (In Italian with English Subtitles)",839,13,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_13_BlackSabbath_Thumbnail.jpg",,"4.99 USD","Black Sabbath"
"in stock","https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_14_BlackSunday_Thumbnail.jpg Black Sunday ",new,"A vengeful witch returns to possess her descendant in Mario Bava's most famous film, which remains beloved by critics, horror historians, and directors like Tim Burton and Francis Ford Coppola (SLEEPY HOLLOW and BRAM STOKER'S DRACULA both feature homages). Bava's major innovation was favoring thrilling visuals and European eroticism (still radical for 1960) over story. Even today, the film is regularly cited as one of the greatest horror movies of all time and scream queen Barbara Steele is still known as one of the most beautiful bad girls in horror history.",839,14,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_14_BlackSunday_Thumbnail.jpg",,"4.99 USD","Black Sunday"
"in stock","https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_15_BloodCar_Thumbnail.jpg Blood Car ",new,"A schoolteacher struggles to fuel his latest invention: a car that runs on blood. After exorbitant gas prices force average Americans to seek alternative fuel sources, Archie overlooks his vegan beliefs and starts taking desperate measures to help power his new ride. Will either of the two women in his life - butcher stand owner Denise or veggie stand owner Lorraine (Anna Chlumsky) - end up quenching the blood car's thirst? Alex Orr's clever horror comedy is part CHRISTINE, part LITTLE SHOP OF HORRORS. One thing's certain: you'll be glad you're safe at home...",839,15,"https://s3.amazonaws.com/amcxcoutput/A_C/shudderkeyart/SH_15_BloodCar_Thumbnail.jpg",,"4.99 USD","Blood Car"
